1, Galatasaray, 1905-10-30, 001, Ali Sami Yen, true, Mustafa Cengiz, 300M, 100M
73, Körfez SK, 2000-05-25, 073, Alparslan Türkeş, true, Cenk Karaloğlu, 3M, 1M
74, Mamak FK, 1998-09-17, 074, Mamak Belediyesi, true, Muhammed Ali Aydın, 3M, 1M
75, Payasspor, 1975-01-30, 075, Payas İlçe, true, Osman Tufan, 3M, 1M
76, Serik Belediyespor, 1957-04-12, 076, İsmail Oğan, true, Halil Deligöz, 3M, 1M
77, Sultanbeyli Belediyespor, 1978-11-17, 077, Gölet, true, Nedim Karakaş, 3M, 1M
78, 1922 Konyaspor, 1992-01-05, 078, Selçuk Üniversitesi, true, Tahir Bayrak, 3M, 1M
79, 24 Erzincanspor, 1968-05-19, 079, Erzincan 13 Şubat, true, Ahmet Tanoğlu, 3M, 1M
80, 52 Orduspor FK, 1967-03-15, 080, Yeni Ordu, true, Şükrü Bodur, 3M, 1M
81, Adıyaman FK, 1984-09-28, 081, Adıyaman Atatürk, true, İrfan Tokur, 2M, 1M
82, Arnavutköy Belediyespor, 2006-03-27, 082, Bolluca, true, Ercan Çetinkaya, 2M, 1M
83, Bayrampaşa, 1942-10-29, 083, Bayrampaşa Çetin Emeç, true, Gökhan Çetinsaya, 2M, 1M
84, Batman Petrolspor, 1960-07-01, 084, Batman Şehir, true, Ekrem Konaç, 2M, 1M
85, Bucaspor, 1928-04-11, 085, Yeni Buca, true, Cihan Aktaş, 2M, 1M
86, Cizrespor, 1972-03-10, 086, Cizre Şehir, true, İzzet Ali Tatar, 2M, 1M
87, Çatalcaspor, 1923-07-15, 087, Ziya Altınoğlu, true, Ayhan Bıçak, 2M, 1M
88, Düzcespor, 1967-04-14, 088, 18 Temmuz, true, Gökhan Kapoğlu, 2M, 1M
89, Erbaaspor, 1947-08-01, 089, Erbaa İlçe, true, Bülent Uzun, 2M, 1M
90, Gebzespor, 1955-06-01, 090, Alaettin Kurt, true, Recep Avcı, 2M, 1M
91, Gölcükspor, 1984-07-02, 091, Gölcük Şehir, true, Ali Can, 2M, 1M
92, Halide Edip Adıvar SK, 1958-02-11, 092, Vefa, true, Süleyman Canan, 2M, 1M
93, Karacabey Belediyespor, 1999-06-21, 093, M. Fehmi Gerçeker, true, İsmail Bayrak, 2M, 1M
94, Nevşehir Belediyespor, 1969-07-15, 094, Gazi Stadı, true, Ahmet Sin, 2M, 1M
95, Silivrispor, 1957-10-01, 095, Silivri İlçe, true, Akgün Duru, 2M, 1M
96, Tekirdağspor, 1967-03-01, 096, Tekirdağ Namık Kemal, true, Ali Rıza Eti, 2M, 1M
97, Tire 1922, 1922-05-09, 097, Tire İlçe, true, Mehmet Çıvgın, 2M, 1M
98, Yalovaspor, 1963-05-29, 098, Yalova Atatürk, true, Onur Tokgöz, 2M, 1M
99, Yeşilyurt Belediyespor, 1980-02-18, 099, Yeşiltepe, true, Ferhat Arıkan, 2M, 1M
100, Zaferspor, 1977-11-13, 100, Zaferspor Tesisleri, true, Muammer Çetintaş, 2M, 1M
